Date,Wind_Speed(m/s),Temperature(C),Humidity(%),Power_Output(kW)
2013-05-13,3.84,26.36,61.49,67.38913354106275
2013-05-14,4.8,25.82,64.29,131.84390032464992
2013-05-15,4.77,27.1,60.53,128.81967685837927
2013-05-16,3.82,26.52,61.44,66.30166696301123
2013-05-17,2.9,28.39,56.54,28.822612625527174
2013-05-18,2.59,28.18,62.3,20.53170552954767
2013-05-19,2.42,26.77,69.6,16.822771685544758
2013-05-20,2.64,27.05,68.35,21.820493148536837
2013-05-21,4.11,25.84,67.55,82.72776408474455
2013-05-22,4.71,26.15,69.06,124.33307684102721
2013-05-23,5.14,26.99,66.53,161.11985102703818
2013-05-24,5.1,27.48,63.52,157.1553395232375
2013-05-25,5.54,24.8,73.61,203.27274540582033
2013-05-26,5.93,24.55,76.05,249.46604222685957
2013-05-27,5.44,24.41,78.29,192.64973057685606
2013-05-28,5.33,23.54,77.87,181.82111734724137
2013-05-29,5.68,24.3,74.12,219.4876115790868
2013-05-30,4.35,24.13,79.24,98.59771339462255
2013-05-31,3.95,22.7,85.51,74.18635616190222
2013-06-01,5.21,22.12,87.49,170.58690114512117
2013-06-02,5.9,22.85,83.32,247.13429708264286
2013-06-03,4.85,23.38,80.35,137.03806496159748
2013-06-04,4.44,23.6,79.96,105.05359978064587
2013-06-05,4.28,24.85,72.9,93.72025171973137
2013-06-06,4.32,23.71,82.62,96.6939990161324
2013-06-07,5.38,22.8,85.14,187.3812463151179
2013-06-08,6.82,21.87,81.71,383.22930683836796
2013-06-09,8.03,21.58,78.27,626.4487058777272
2013-06-10,7.03,21.92,78.9,419.7666599769647
2013-06-11,7.08,22.49,81.17,427.74295600687486
2013-06-12,7.44,22.83,79.25,495.8091975109086
2013-06-13,8.46,22.34,74.94,730.6710133039234
2013-06-14,9.08,22.84,73.16,901.8059016633349
2013-06-15,8.69,23.72,76.09,787.5962553823516
2013-06-16,7.57,23.65,78.46,520.6388955044807
2013-06-17,8.3,23.4,77.71,686.974383662992
2013-06-18,7.79,23.1,78.84,568.5539920538613
2013-06-19,7.14,24.02,77.14,436.29738056118816
2013-06-20,6.86,23.49,75.8,387.80838187335337
2013-06-21,7.01,23.39,78.43,413.8503672999415
2013-06-22,7.75,22.39,77.91,561.4371146478973
2013-06-23,8.69,22.45,74.25,791.6202624493518
2013-06-24,8.63,22.95,78.13,773.5298313485821
2013-06-25,7.98,23.78,76.0,609.7563701411656
2013-06-26,6.75,24.02,79.41,368.54326410310233
2013-06-27,6.01,23.18,82.41,260.9048786763734
2013-06-28,5.57,23.26,78.53,207.71577599016305
2013-06-29,5.93,22.99,76.59,250.96434452574465
2013-06-30,6.29,22.27,78.63,300.27404926894684
2013-07-01,7.38,22.14,77.41,485.2956762912721
2013-07-02,9.04,22.59,75.15,890.6125877773313
2013-07-03,7.54,22.17,81.4,517.2816745798505
2013-07-04,6.55,23.58,79.08,337.3351661951251
2013-07-05,5.24,23.97,77.99,172.47448151606451
2013-07-06,6.12,23.92,77.46,274.8498195158705
2013-07-07,6.01,22.27,83.24,261.8104516756831
2013-07-08,6.37,23.1,78.16,310.89162674499033
2013-07-09,6.82,22.15,80.84,382.8461755369448
2013-07-10,7.79,22.04,79.92,570.8325355208729
2013-07-11,7.49,22.03,78.75,507.4686332132605
2013-07-12,6.69,22.04,82.64,361.45730700208725
2013-07-13,6.46,22.79,79.39,324.60440049958044
2013-07-14,6.14,22.89,80.95,278.5622456078922
2013-07-15,6.03,23.36,80.65,263.3829851150921
2013-07-16,6.7,22.3,84.3,362.6524152384935
2013-07-17,6.37,22.7,82.21,311.2431330242569
2013-07-18,7.01,22.54,82.53,415.04198067869595
2013-07-19,6.87,21.98,88.16,391.3020856528826
2013-07-20,7.26,21.85,84.61,462.1948746221477
2013-07-21,7.68,21.82,84.16,547.2287875449715
2013-07-22,7.9,21.83,83.89,595.6088813319648
2013-07-23,8.33,22.14,82.69,697.4972546839144
2013-07-24,10.16,22.03,80.72,1266.3673387880858
2013-07-25,10.22,22.05,78.52,1289.1184109920007
2013-07-26,8.56,21.82,81.71,757.898710914846
2013-07-27,6.78,22.75,80.26,375.29609011305234
2013-07-28,6.06,22.6,82.43,268.0765056072286
2013-07-29,7.11,21.64,80.1,434.68027262853275
2013-07-30,8.0,21.94,81.59,618.3903233152776
2013-07-31,9.4,22.08,81.43,1002.644832993651
2013-08-01,9.46,22.65,80.87,1019.7641011210536
2013-08-02,8.39,22.96,78.29,710.7328793954774
2013-08-03,6.43,22.22,82.75,320.70264943729853
2013-08-04,6.47,23.24,81.03,325.4873123994849
2013-08-05,7.07,22.66,82.57,425.58983818545744
2013-08-06,6.02,22.26,81.1,263.1866325858328
2013-08-07,5.39,23.46,78.17,188.08308456054874
2013-08-08,5.31,23.06,81.14,180.05468488617893
2013-08-09,5.31,22.75,80.94,180.27594923818305
2013-08-10,5.48,23.0,80.93,197.95829782427637
2013-08-11,4.96,23.14,80.79,146.70559268199534
2013-08-12,5.48,23.01,80.5,197.9595874473054
2013-08-13,5.17,22.62,81.93,166.45662087157515
2013-08-14,5.59,22.1,82.79,210.81726949063838
2013-08-15,5.13,22.07,85.75,162.90905004888072
2013-08-16,5.36,22.12,85.44,185.7873170654605
2013-08-17,5.68,22.49,81.15,220.8660631213302
2013-08-18,5.44,22.27,84.78,194.13000346800627
2013-08-19,5.47,22.98,82.88,196.85137705201822
2013-08-20,6.21,22.96,81.89,288.0915629711617
2013-08-21,6.87,22.79,80.72,390.36134979853796
2013-08-22,6.62,23.18,78.01,348.848518626976
2013-08-23,6.02,22.98,78.42,262.52481691129253
2013-08-24,5.53,23.3,78.52,203.24145359644908
2013-08-25,5.08,22.63,81.57,157.91370302154797
2013-08-26,4.42,23.2,78.25,103.82092317085107
2013-08-27,4.01,24.02,73.93,77.31748825491336
2013-08-28,3.42,23.68,77.77,48.00755732020269
2013-08-29,3.6,22.9,81.22,56.14297486960298
2013-08-30,2.36,24.41,78.64,15.72860557028597
2013-08-31,1.56,24.25,81.18,4.544366823590611
2013-09-01,1.91,24.02,82.78,8.346659586700463
2013-09-02,1.33,23.74,82.01,2.82150901350219
2013-09-03,3.01,21.5,89.03,32.97022575906067
2013-09-04,3.38,21.12,83.47,46.778502957621
2013-09-05,3.34,22.49,80.72,44.909943583863715
2013-09-06,3.8,21.91,82.24,66.27751075586079
2013-09-07,4.01,21.76,86.11,77.8999066419449
2013-09-08,2.89,22.27,84.38,29.107643762498164
2013-09-09,4.41,21.83,88.39,103.56269908034007
2013-09-10,4.09,21.05,91.07,82.8465820509638
2013-09-11,3.15,22.16,86.92,37.698225389937214
2013-09-12,2.71,22.05,88.85,24.010469424741714
2013-09-13,2.79,22.99,88.68,26.10393537074066
2013-09-14,3.31,22.89,87.33,43.612422425155756
2013-09-15,3.67,22.7,89.01,59.48029976356355
2013-09-16,3.75,23.18,86.86,63.349915397922175
2013-09-17,4.25,22.61,88.58,92.40916492776748
2013-09-18,4.83,21.97,89.36,135.97173623275322
2013-09-19,6.22,21.64,86.92,290.8334210178496
2013-09-20,6.41,21.86,89.9,317.940546401648
2013-09-21,5.08,22.53,83.91,157.93721993485408
2013-09-22,5.3,22.18,84.93,179.58485430259273
2013-09-23,4.74,21.93,82.05,128.62483732573767
2013-09-24,4.16,22.29,83.83,86.81280157165811
2013-09-25,4.23,22.65,84.36,91.13613831002841
2013-09-26,3.24,22.93,81.12,40.923876826280505
2013-09-27,2.94,23.01,80.19,30.56969385803519
2013-09-28,3.56,22.14,86.4,54.42468490519778
2013-09-29,4.59,21.71,83.29,116.88164173265551
2013-09-30,4.17,21.88,86.96,87.55317395792231
2013-10-01,3.77,22.37,86.9,64.57384476918865
2013-10-02,3.47,22.69,86.03,50.29383712925363
2013-10-03,3.8,21.37,87.3,66.38444764029072
2013-10-04,4.25,21.3,85.42,92.91351114034389
2013-10-05,4.38,21.22,84.79,101.74091785329743
2013-10-06,3.59,22.81,84.67,55.675862317298616
2013-10-07,2.17,23.0,86.84,12.284003845663651
2013-10-08,3.37,21.81,92.92,46.197441986354924
2013-10-09,2.5,21.88,89.5,18.86144042680298
2013-10-10,3.58,22.27,85.7,55.3228637878169
2013-10-11,4.51,22.25,83.16,110.64468287452526
2013-10-12,5.09,21.9,82.69,159.2818586843786
2013-10-13,4.66,22.63,84.29,121.86089944539502
2013-10-14,3.44,22.85,84.73,48.97654879460402
2013-10-15,2.46,23.35,85.87,17.873650236699604
2013-10-16,2.11,22.92,87.73,11.295463483928515
2013-10-17,2.92,22.4,87.58,29.99852824029946
2013-10-18,2.78,22.18,85.71,25.914475938740754
2013-10-19,2.18,22.86,83.35,12.46602892690478
2013-10-20,2.94,21.99,86.21,30.672633754489087
2013-10-21,3.35,20.93,89.46,45.552126459178375
2013-10-22,2.88,21.37,89.88,28.892547091577164
2013-10-23,3.5,22.65,86.67,51.61427653398834
2013-10-24,3.38,22.16,90.49,46.556853127197925
2013-10-25,3.2,22.86,87.22,39.412358462789776
2013-10-26,2.82,23.01,86.69,26.9586337291803
2013-10-27,3.03,22.44,85.46,33.52008567650561
2013-10-28,2.65,22.01,87.33,22.45765099491622
2013-10-29,3.03,21.62,88.48,33.61779193301763
2013-10-30,2.61,21.85,86.53,21.471117122226925
2013-10-31,2.7,22.45,84.75,23.718271934861846
2013-11-01,2.91,22.4,84.88,29.69954928265729
2013-11-02,3.15,22.61,86.3,37.63415308525795
2013-11-03,3.66,21.59,88.08,59.25874553843721
2013-11-04,4.17,21.51,85.45,87.69272868975327
2013-11-05,4.32,21.15,82.68,97.66281772661797
2013-11-06,4.05,21.17,82.94,80.46346674101748
2013-11-07,3.8,20.67,82.25,66.59680207700819
2013-11-08,3.49,20.27,79.92,51.6821573160569
2013-11-09,3.58,19.05,78.9,56.051303479485014
2013-11-10,3.17,19.93,80.08,38.77967356197311
2013-11-11,3.1,20.97,81.17,36.11829362990651
2013-11-12,2.9,20.66,81.2,29.604320318450732
2013-11-13,2.97,20.0,80.37,31.883626931561217
2013-11-14,2.88,20.07,78.3,29.069535211498096
2013-11-15,3.67,18.89,77.33,60.43057271145057
2013-11-16,4.95,19.45,87.79,147.82878067393418
2013-11-17,5.25,20.45,89.95,175.64985754311851
2013-11-18,4.13,20.38,87.82,85.55040254657575
2013-11-19,2.7,21.05,79.63,23.85952472347882
2013-11-20,2.92,20.67,79.36,30.224980342932632
2013-11-21,2.09,21.32,77.27,11.05743586805261
2013-11-22,1.98,21.67,77.79,9.388667682765528
2013-11-23,1.53,21.65,85.65,4.328965683873931
2013-11-24,3.05,21.86,87.03,34.26054323681903
2013-11-25,2.37,21.98,83.49,16.072683747695454
2013-11-26,2.24,21.98,82.75,13.571233502644374
2013-11-27,2.71,21.68,82.44,24.06039548820897
2013-11-28,2.51,19.88,69.65,19.271945156714526
2013-11-29,3.35,19.97,80.36,45.75971503005359
2013-11-30,2.93,21.48,77.85,30.44575638327923
2013-12-01,3.61,21.74,81.41,56.86683332484264
2013-12-02,3.68,21.45,80.48,60.31257243978046
2013-12-03,4.12,21.02,78.8,84.79028958761405
2013-12-04,5.17,20.56,74.15,167.91081952969486
2013-12-05,4.82,20.18,73.62,136.26952499167925
2013-12-06,3.87,19.37,68.3,70.78241613501875
2013-12-07,4.32,19.81,70.79,98.27156704632394
2013-12-08,3.9,20.59,76.75,72.0523746881524
2013-12-09,3.41,19.48,65.65,48.414210710515654
2013-12-10,3.29,18.57,52.08,43.677309213064326
2013-12-11,3.78,19.51,53.39,66.00679085305873
2013-12-12,6.63,20.01,82.12,354.61366877650335
2013-12-13,5.22,22.28,78.73,171.61536986003014
2013-12-14,3.19,22.18,77.93,39.184981770816314
2013-12-15,3.22,20.69,64.18,40.58404605843638
2013-12-16,3.77,18.03,55.05,65.83508743157991
2013-12-17,3.92,18.04,70.63,73.91813768462016
2013-12-18,3.39,18.53,69.36,47.723413727250566
2013-12-19,1.86,19.03,67.24,7.869132333778359
2013-12-20,1.77,19.65,63.69,6.767442800597267
2013-12-21,3.14,19.09,67.09,37.851591148185214
2013-12-22,4.02,19.18,70.21,79.38037430703801
2013-12-23,4.81,19.44,71.23,135.83294220904824
2013-12-24,5.23,19.84,69.48,174.37397911141272
2013-12-25,4.23,20.03,69.97,92.18630756437528
2013-12-26,3.6,19.1,66.91,57.041746095206626
2013-12-27,3.92,19.29,68.54,73.58226717781062
2013-12-28,3.59,19.23,68.19,56.53396520323778
2013-12-29,3.65,19.21,67.42,59.424481391067665
2013-12-30,4.28,18.96,65.02,95.92086954137471
2013-12-31,4.61,19.46,68.3,119.6045261252224
2014-01-01,4.63,20.01,71.24,120.88511124739469
2014-01-02,4.03,20.24,68.59,79.66506293401682
2014-01-03,4.4,20.29,71.18,103.64016995408387
2014-01-04,3.56,20.68,64.52,54.84544555542945
2014-01-05,3.07,20.93,62.5,35.14617415590156
2014-01-06,3.5,20.79,60.33,52.11734109402807
2014-01-07,4.59,20.42,61.75,117.69611510703021
2014-01-08,5.17,20.51,68.56,168.02792711036568
2014-01-09,4.0,21.26,65.39,77.62206882460885
2014-01-10,3.17,21.58,67.35,38.581186408411476
2014-01-11,3.44,21.63,65.03,49.304721758131535
2014-01-12,3.44,21.33,62.28,49.37354565420912
2014-01-13,3.96,21.18,60.3,75.37555234455506
2014-01-14,4.21,21.53,61.71,90.44040806939921
2014-01-15,3.74,22.05,63.15,63.273183099296034
2014-01-16,3.42,22.08,65.99,48.3627604844091
2014-01-17,3.8,21.73,66.34,66.42695329173759
2014-01-18,3.61,21.44,64.01,57.028107684700345
2014-01-19,4.62,21.74,64.37,119.39511852974539
2014-01-20,5.2,21.81,64.44,170.19739423991143
2014-01-21,5.29,20.99,62.52,179.77579446699488
2014-01-22,5.22,21.0,61.46,172.74374178955637
2014-01-23,4.1,20.83,60.55,83.76369504870402
2014-01-24,3.2,21.65,59.64,39.70613015341899
2014-01-25,4.7,22.28,59.64,125.5091796090537
2014-01-26,5.63,21.44,61.62,216.367496481915
2014-01-27,5.55,20.59,62.16,207.9265549057978
2014-01-28,4.72,21.01,58.25,127.741081240612
2014-01-29,4.4,21.58,56.49,103.27893018280712
2014-01-30,3.69,21.55,56.57,60.92254086499623
2014-01-31,3.97,21.83,52.93,75.81796529935575
2014-02-01,4.28,21.55,57.87,95.05517531743374
2014-02-02,5.08,22.98,56.35,158.11829905134363
2014-02-03,3.78,22.95,48.79,65.20184911119671
2014-02-04,3.01,22.45,48.2,32.9845517388865
2014-02-05,2.72,22.47,44.48,24.34728344979252
2014-02-06,3.5,22.55,43.14,51.86572053234727
2014-02-07,3.28,22.18,36.42,42.77365435287963
2014-02-08,2.62,22.24,41.15,21.785040490012552
2014-02-09,2.71,22.25,42.3,24.104402412780928
2014-02-10,2.5,23.15,41.14,18.864144733806846
2014-02-11,3.52,23.15,51.86,52.59572370021752
2014-02-12,3.79,23.8,49.84,65.50728101998442
2014-02-13,4.28,24.33,52.93,94.12351069853919
2014-02-14,2.56,24.79,52.73,20.107243842882504
2014-02-15,2.18,25.67,48.11,12.38296913605117
2014-02-16,1.95,25.82,46.92,8.858956704013435
2014-02-17,3.89,25.84,51.18,70.28526143544285
2014-02-18,4.92,25.08,58.65,142.4791137222462
2014-02-19,4.19,24.64,57.65,88.15942513830355
2014-02-20,3.73,24.62,56.4,62.208388491245266
2014-02-21,2.9,24.83,52.22,29.22725111673798
2014-02-22,3.17,25.11,48.35,38.15223448947413
2014-02-23,4.6,24.15,44.79,117.03898531455403
2014-02-24,5.31,23.83,54.85,180.03885431168638
2014-02-25,4.9,24.6,60.27,140.97693412539365
2014-02-26,3.98,25.11,47.94,75.51143228844869
2014-02-27,3.41,24.36,47.01,47.62943944293554
2014-02-28,2.63,25.27,54.05,21.759723627210512
2014-03-01,2.88,25.38,56.25,28.554110908207853
2014-03-02,3.04,25.99,52.4,33.521753938334236
2014-03-03,5.47,25.26,55.44,195.74533902688393
2014-03-04,3.89,25.05,58.49,70.43071989254325
2014-03-05,3.47,25.78,55.2,49.87505621595873
2014-03-06,3.94,25.37,57.77,73.09974631954545
2014-03-07,4.56,23.24,57.75,114.23481753909893
2014-03-08,4.34,24.3,52.1,98.15797890240528
2014-03-09,4.78,24.64,51.71,130.9816911827572
2014-03-10,4.18,24.64,50.65,87.60104811741891
2014-03-11,4.97,24.5,50.86,147.32100897660752
2014-03-12,5.7,24.89,45.8,222.04996130781436
2014-03-13,4.96,24.98,40.36,146.35502425780822
2014-03-14,5.11,24.95,35.27,160.15271724417153
2014-03-15,5.08,24.91,31.73,157.4369785642736
2014-03-16,5.68,25.74,35.06,219.3265761610936
2014-03-17,5.0,26.01,34.36,149.47616970347786
2014-03-18,4.34,26.27,31.07,97.70291357717402
2014-03-19,4.12,26.8,36.31,83.36938010664699
2014-03-20,3.49,27.69,38.81,50.494210928864476
2014-03-21,3.37,27.92,36.74,45.43789649398287
2014-03-22,3.58,28.41,36.37,54.378775442104086
2014-03-23,4.72,27.93,39.73,124.78298733277391
2014-03-24,4.28,26.82,35.28,93.47037275988696
2014-03-25,4.98,27.0,35.43,147.14309644569977
2014-03-26,5.76,26.78,31.82,227.9664764009678
2014-03-27,4.03,26.6,25.84,78.18749694970532
2014-03-28,3.98,26.88,26.5,75.2321670963343
2014-03-29,4.27,28.01,25.74,92.5438712990834
2014-03-30,3.27,28.54,27.47,41.474793676290865
2014-03-31,2.89,28.44,29.64,28.631997634514136
2014-04-01,2.74,28.88,25.34,24.37847882171439
2014-04-02,3.08,29.59,29.54,34.51717445931341
2014-04-03,4.36,29.28,28.22,98.04159128123317
2014-04-04,4.57,28.49,28.55,113.21351413267168
2014-04-05,4.39,28.77,34.06,100.17423056639257
2014-04-06,4.29,28.29,42.02,93.53777952540798
2014-04-07,3.6,28.61,38.8,55.235461708413375
2014-04-08,2.86,29.32,40.0,27.618751995760935
2014-04-09,2.24,28.84,46.54,13.279732196770642
2014-04-10,2.49,28.7,43.8,18.257658089918948
2014-04-11,2.73,30.15,35.23,23.966592157950437
2014-04-12,2.85,29.91,37.35,27.2825215775812
2014-04-13,3.12,29.54,40.25,35.82639215865381
2014-04-14,3.6,29.38,42.65,55.047940527830484
2014-04-15,3.18,29.18,43.82,37.96274730301947
2014-04-16,3.56,29.38,37.06,53.279094173083394
2014-04-17,2.34,30.51,33.8,15.076526182440947
2014-04-18,3.52,31.16,33.72,51.19974956665001
2014-04-19,3.63,30.17,36.85,56.32401205364569
2014-04-20,3.98,28.0,33.97,74.85526166948169
2014-04-21,3.88,28.66,34.61,69.18224697210388
2014-04-22,4.16,29.34,37.07,85.0255209225574
2014-04-23,2.82,29.64,37.27,26.45632065366054
2014-04-24,3.99,29.79,40.15,74.86294000633646
2014-04-25,2.92,30.89,39.06,29.229618558234925
2014-04-26,3.29,30.97,41.35,41.779895353752316
2014-04-27,4.04,30.77,38.92,77.44969627492623
2014-04-28,2.41,29.3,45.39,16.51317091777808
2014-04-29,3.1,30.61,39.72,35.007227204662975
2014-04-30,2.59,30.56,35.77,20.433081541414133
2014-05-01,2.3,29.27,44.43,14.357370653727433
2014-05-02,2.1,29.32,46.12,10.92336392439716
2014-05-03,3.7,28.96,50.44,59.786398140490064
2014-05-04,4.27,28.37,53.16,92.05962094171603
2014-05-05,4.51,28.26,53.48,108.51130988276473
2014-05-06,5.41,26.46,64.55,188.29983983377403
2014-05-07,6.0,24.18,72.63,258.8771982199642
2014-05-08,7.32,23.57,83.13,470.64714982591966
2014-05-09,6.67,25.29,72.09,354.1457850618974
2014-05-10,3.13,26.81,69.04,36.395642611482494
2014-05-11,3.18,27.13,64.19,38.14555386789069
2014-05-12,2.05,28.49,54.8,10.17997363165335
2014-05-13,1.82,28.26,56.22,7.12832989812133
2014-05-14,4.48,27.89,55.8,106.47365112787082
2014-05-15,4.19,27.87,50.46,87.17863980443359
2014-05-16,3.26,28.32,51.35,40.9858497074511
2014-05-17,3.11,27.37,60.14,35.66846594337474
2014-05-18,1.81,27.94,58.86,7.017354035644118
2014-05-19,1.65,28.99,54.14,5.298564543012607
2014-05-20,2.98,26.59,65.56,31.450898457436583
2014-05-21,3.57,25.7,59.42,54.30035226280651
2014-05-22,4.29,27.56,64.5,93.49707518376889
2014-05-23,4.23,26.99,68.4,89.77839834019605
2014-05-24,4.0,28.02,64.94,75.65003658946225
2014-05-25,3.94,26.67,67.32,72.65053400957989
2014-05-26,3.38,26.83,67.57,45.83715708740733
2014-05-27,2.24,27.27,68.54,13.317277379666617
2014-05-28,0.72,27.87,62.34,0.44160862616740376
2014-05-29,2.15,27.09,66.61,11.786988599565285
2014-05-30,2.61,27.85,65.38,21.028516994004335
